scenario,Region_Group,Year,Final_Growth_Rate,Final_Growth_Rate_Pct
SSP5,03_JPN,2049,-0.004350007380192866,-0.4350007380192866
SSP5,03_JPN,2050,-0.004325766406077736,-0.43257664060777357
SSP5,04_RUS,2019,0.0003795441461940108,0.03795441461940108
SSP5,04_RUS,2020,-0.0014309954664415425,-0.14309954664415425
SSP5,04_RUS,2021,-0.0034313435378922064,-0.34313435378922064
SSP5,04_RUS,2022,-0.003522213505542826,-0.3522213505542826
SSP5,04_RUS,2023,-0.0028481124179200457,-0.28481124179200457
SSP5,04_RUS,2024,-0.002032168980699134,-0.2032168980699134
SSP5,04_RUS,2025,-0.0006367348066413925,-0.06367348066413925
SSP5,04_RUS,2026,-0.0006770752877509612,-0.06770752877509612
SSP5,04_RUS,2027,-0.0007916085708271625,-0.07916085708271625
SSP5,04_RUS,2028,-0.000801002997840361,-0.0801002997840361
SSP5,04_RUS,2029,-0.0007049373121549296,-0.07049373121549296
SSP5,04_RUS,2030,-0.0005031020412133991,-0.05031020412133991
SSP5,04_RUS,2031,-0.00036432527093255285,-0.036432527093255285
SSP5,04_RUS,2032,-0.00033825462543735085,-0.033825462543735085
SSP5,04_RUS,2033,-0.00028067261001774035,-0.028067261001774035
SSP5,04_RUS,2034,-0.0001915457242062102,-0.01915457242062102
SSP5,04_RUS,2035,-7.086059585748039e-05,-0.007086059585748039
SSP5,04_RUS,2036,0.0001353410211031303,0.013534102110313029
SSP5,04_RUS,2037,0.000364779407801441,0.0364779407801441
SSP5,04_RUS,2038,0.0005322588850791288,0.05322588850791288
SSP5,04_RUS,2039,0.0006377713802874219,0.06377713802874219
SSP5,04_RUS,2040,0.0006814047608807439,0.06814047608807439
SSP5,04_RUS,2041,0.0008599666563808839,0.08599666563808839
SSP5,04_RUS,2042,0.0011495998541957153,0.11495998541957153
SSP5,04_RUS,2043,0.0013417361940994965,0.13417361940994965
SSP5,04_RUS,2044,0.0014366826727194582,0.14366826727194582
SSP5,04_RUS,2045,0.0014349126208919039,0.14349126208919039
SSP5,04_RUS,2046,0.001446604885593672,0.1446604885593672
SSP5,04_RUS,2047,0.0015318674374447117,0.15318674374447117
SSP5,04_RUS,2048,0.0016109925671283776,0.16109925671283776
SSP5,04_RUS,2049,0.0016839973891482618,0.16839973891482618
SSP5,04_RUS,2050,0.0017509036367617803,0.17509036367617803
SSP5,05_MNG,2019,0.01854130165024559,1.854130165024559
SSP5,05_MNG,2020,0.018218163200540483,1.8218163200540483
SSP5,05_MNG,2021,0.016992345524951213,1.6992345524951213
SSP5,05_MNG,2022,0.014778613374959892,1.4778613374959892
SSP5,05_MNG,2023,0.013803284341192157,1.3803284341192157
SSP5,05_MNG,2024,0.012536967003672572,1.2536967003672572
SSP5,05_MNG,2025,0.011991555766010853,1.1991555766010853
SSP5,05_MNG,2026,0.010856091718394634,1.0856091718394634
SSP5,05_MNG,2027,0.009923844412390803,0.9923844412390803
SSP5,05_MNG,2028,0.009242292089465698,0.9242292089465698
SSP5,05_MNG,2029,0.008800523714866726,0.8800523714866726
SSP5,05_MNG,2030,0.008589360474328345,0.8589360474328345
SSP5,05_MNG,2031,0.008390400264522313,0.8390400264522313
SSP5,05_MNG,2032,0.008071244206879324,0.8071244206879324
SSP5,05_MNG,2033,0.007777147656770511,0.7777147656770511
SSP5,05_MNG,2034,0.007507163625969371,0.7507163625969371
SSP5,05_MNG,2035,0.0072604271587706215,0.7260427158770622
SSP5,05_MNG,2036,0.006979903165414747,0.6979903165414747
