model,scenario,version,region,unit,variable,type,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,Historical Reference,1,Bhutan,billion USD_2015/yr,GDP|PPP,ANNUAL,0.520284928,0.770749515,1.333709505,1.59735494,2.168825466,3.168469613,4.924404564,6.59089872,7.969622711,9.159684301,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bhutan,billion USD_2017/yr,GDP|PPP,ANNUAL,0.548435,0.812451,1.40587,1.68378,2.28617,3.3399,5.19084,6.9475,8.40082,9.65527,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bolivia,billion USD_2010/yr,GDP|PPP,ANNUAL,24.31632328,22.05969583,24.61111111,30.08383321,35.62822032,41.48341634,51.9315819,67.82691397,71.64055575,83.2267649,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bolivia,billion USD_2015/yr,GDP|PPP,ANNUAL,27.79726671,25.21759731,28.13425417,34.39041033,40.72849053,47.42187273,59.36571972,77.53650895,81.89608323,95.14088765,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bolivia,billion USD_2017/yr,GDP|PPP,ANNUAL,31.1143,28.2268,31.4915,38.4942,45.5886,53.0807,66.4498,86.7889,91.6687,106.494,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bosnia and Herzegovina,billion USD_2010/yr,GDP|PPP,ANNUAL,,,,9.238414764,24.23183919,29.97433457,35.43325958,38.33961681,42.33941023,51.22290579,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bosnia and Herzegovina,billion USD_2015/yr,GDP|PPP,ANNUAL,,,,10.0399332,26.33417671,32.57488699,38.50742454,41.66593529,46.01274801,55.66696946,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bosnia and Herzegovina,billion USD_2017/yr,GDP|PPP,ANNUAL,,,,10.6305,27.8832,34.491,40.7725,44.1168,48.7193,58.9414,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Botswana,billion USD_2010/yr,GDP|PPP,ANNUAL,4.760768796,7.582867295,13.29740789,15.77970823,19.19189175,23.67176609,25.92242816,30.89241577,33.78343768,45.09864882,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Botswana,billion USD_2015/yr,GDP|PPP,ANNUAL,4.767821657,7.594100966,13.31710739,15.80308514,19.22032366,23.70683473,25.96083105,30.93818148,33.8334863,45.16546041,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Botswana,billion USD_2017/yr,GDP|PPP,ANNUAL,4.86069,7.74202,13.5765,16.1109,19.5947,24.1686,26.4665,31.5408,34.4925,46.0452,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brazil,billion USD_2010/yr,GDP|PPP,ANNUAL,1311.820253,1397.424604,1534.023809,1784.502217,1949.135597,2252.736453,2800.211513,2963.920689,2884.997559,3350.796133,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brazil,billion USD_2015/yr,GDP|PPP,ANNUAL,1334.935908,1422.048698,1561.054925,1815.947027,1983.48142,2292.432043,2849.554191,3016.148095,2935.834256,3409.840692,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brazil,billion USD_2017/yr,GDP|PPP,ANNUAL,1362.63,1451.55,1593.44,1853.62,2024.63,2339.99,2908.67,3078.72,2996.74,3480.58,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brunei Darussalam,billion USD_2010/yr,GDP|PPP,ANNUAL,,21.76925142,21.84273772,25.51124523,27.25618942,30.20002713,31.20856742,31.04997923,32.25219149,32.97863919,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brunei Darussalam,billion USD_2015/yr,GDP|PPP,ANNUAL,,18.19966597,18.26110245,21.32807109,22.78689026,25.24801592,26.09118209,25.95859819,26.96367922,27.57100857,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Brunei Darussalam,billion USD_2017/yr,GDP|PPP,ANNUAL,,18.3666,18.4286,21.5237,22.9959,25.4796,26.3305,26.1967,27.211,27.8239,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bulgaria,billion USD_2010/yr,GDP|PPP,ANNUAL,93.89807515,112.9988671,115.3813137,78.99294488,70.97201372,93.61366543,111.0698272,118.6507889,128.9027289,154.9134404,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bulgaria,billion USD_2015/yr,GDP|PPP,ANNUAL,104.4058764,125.6441703,128.2932281,87.83276572,78.91424054,104.0896394,123.4992584,131.9285787,143.327777,172.2492552,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Bulgaria,billion USD_2017/yr,GDP|PPP,ANNUAL,113.902,137.072,139.962,95.8215,86.0918,113.557,134.732,143.928,156.364,187.916,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burkina Faso,billion USD_2010/yr,GDP|PPP,ANNUAL,5.835590243,6.786909549,7.851797517,9.51214819,13.17502705,17.93911181,23.44322576,30.51960783,39.44201398,50.37823291,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burkina Faso,billion USD_2015/yr,GDP|PPP,ANNUAL,5.933740886,6.901060734,7.98385939,9.672136028,13.39662201,18.24083543,23.83752481,31.0329268,40.10540172,51.22556039,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burkina Faso,billion USD_2017/yr,GDP|PPP,ANNUAL,6.70199,7.79455,9.01754,10.9244,15.1311,20.6025,26.9238,35.0508,45.2979,57.8578,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burundi,billion USD_2010/yr,GDP|PPP,ANNUAL,2.920951114,3.764194022,4.515753856,4.006242354,3.991783402,4.609607732,5.75270343,6.570100472,6.814648753,8.300065021,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burundi,billion USD_2015/yr,GDP|PPP,ANNUAL,3.801470932,4.898909156,5.877026471,5.213922883,5.195105285,5.99917257,7.486854114,8.550655245,8.868922529,10.80211708,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Burundi,billion USD_2017/yr,GDP|PPP,ANNUAL,3.72721,4.80321,5.76222,5.11207,5.09362,5.88198,7.3406,8.38362,8.69567,10.5911,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cabo Verde,billion USD_2010/yr,GDP|PPP,ANNUAL,0.532719189,0.733589868,0.88803686,1.144513218,1.709833437,2.28078332,3.078217507,3.307476368,3.215719122,4.568422477,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cabo Verde,billion USD_2015/yr,GDP|PPP,ANNUAL,0.555242936,0.764606572,0.925583692,1.192904054,1.782126415,2.377216467,3.208366741,3.44731883,3.351682023,4.761578641,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cabo Verde,billion USD_2017/yr,GDP|PPP,ANNUAL,0.595205,0.819637,0.9922,1.27876,1.91039,2.54831,3.43928,3.69543,3.59291,5.10428,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cambodia,billion USD_2010/yr,GDP|PPP,ANNUAL,,,8.193639048,11.25899807,16.03153797,25.1506625,34.7430111,49.14828807,62.6521518,81.03381563,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cambodia,billion USD_2015/yr,GDP|PPP,ANNUAL,,,8.768748056,12.04926368,17.1567867,26.91597977,37.18161238,52.59799131,67.04968709,86.72155425,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cambodia,billion USD_2017/yr,GDP|PPP,ANNUAL,,,9.16976,12.6003,17.9414,28.1469,38.882,55.0034,70.116,90.6875,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cameroon,billion USD_2010/yr,GDP|PPP,ANNUAL,25.31809862,39.56880854,35.1148456,31.95839226,39.83914485,48.89022073,57.24561025,72.60496945,84.95355509,103.3733237,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cameroon,billion USD_2015/yr,GDP|PPP,ANNUAL,27.58749631,43.1155742,38.26237855,34.82299527,43.41014221,53.27251483,62.37684296,79.11294435,92.5684003,112.6392321,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Cameroon,billion USD_2017/yr,GDP|PPP,ANNUAL,29.0234,45.3597,40.2539,36.6355,45.6696,56.0453,65.6235,83.2307,97.3865,118.502,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Canada,billion USD_2010/yr,GDP|PPP,ANNUAL,701.738106,800.0636551,910.0867313,990.522313,1133.829756,1287.720123,1363.570367,1516.540091,1568.882659,1771.057614,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Canada,billion USD_2015/yr,GDP|PPP,ANNUAL,737.9748585,841.3777984,957.082309,1041.671469,1192.379104,1354.216149,1433.983191,1594.852053,1649.897516,1862.512497,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Canada,billion USD_2017/yr,GDP|PPP,ANNUAL,785.093,895.098,1018.19,1108.18,1268.51,1440.68,1525.54,1696.68,1755.24,1981.43,,,,,,,,,,,,,,,
