Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
03_JPN,3.C.2,Liming,453.5142858,0.0,0.0,0.0,0.0,453.5142858,453.5142858,0.0
03_JPN,3.C.3,Urea application,164.5285415,0.0,0.0,0.0,0.0,164.5285415,164.5285415,0.0
03_JPN,3.C.4,Direct N2O Emissions from managed soils,0.0,0.0,3093.85627245,0.0,0.0,3093.85627245,3093.856272,-4.4999978854320943e-07
03_JPN,3.C.5,Indirect N2O Emissions from managed soils,0.0,0.0,1081.492155875,0.0,0.0,1081.492155875,1081.492156,1.2500004231696948e-07
03_JPN,3.C.6,Indirect N2O Emissions from manure management,0.0,0.0,78.23876854,0.0,0.0,78.23876854,78.23876865,1.1000000199601345e-07
03_JPN,3.C.7,Rice cultivations,0.0,12818.6223452,0.0,0.0,0.0,12818.6223452,12818.62234,-5.199999577598646e-06
03_JPN,4.A,Solid Waste Disposal,0.0,2024.58451048,0.0,0.0,0.0,2024.58451048,2024.58451,-4.800001534022158e-07
03_JPN,4.B,Biological Treatment of Solid Waste,0.0,92.203026468,94.076251065,0.0,0.0,186.279277533,186.2792776,6.700000199089118e-08
03_JPN,4.C,Incineration and Open Burning of Waste,3774.318789,9.68106804,411.09218231000006,0.0,4939.230453,4195.09203935,4195.0920391,-2.5000008463393897e-07
03_JPN,4.D,Wastewater Treatment and Discharge,0.0,3517.19011,1947.75067363,0.0,0.0,5464.94078363,5464.940785,1.3700000636163168e-06
03_JPN,4.E,Other,0.0,931.49356832,0.0,0.0,0.0,931.49356832,931.4935683,-2.0000015865662135e-08
03_JPN,5.A,Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,0.0,0.0,2272.387933855,0.0,0.0,2272.387933855,2272.387934,1.4499983080895618e-07
04_RUS,1.A.1.a,Main Activity Electricity and Heat Production,787997.575,643.1038896800001,1789.60178049,0.0,2360.264,790430.28067017,790430.280716,4.583003465086222e-05
04_RUS,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,35457.57817,50.8376344,29.60082542,0.0,0.0,35538.01662982,35538.01663,1.7999991541728377e-07
04_RUS,1.A.2,Manufacturing Industries and Construction,275255.3968,458.96276328,611.6059526149999,0.0,923.944584,276325.965515895,276325.96542587003,-9.002495789900422e-05
04_RUS,1.A.3.a,Civil Aviation,17527.73,3.432016,129.92632,0.0,0.0,17661.088335999997,17661.08834,4.0000013541430235e-06
04_RUS,1.A.3.b_noRES,Road Transportation no resuspension,153124.678,803.1847667200001,1543.357234725,0.0,0.0,155471.220001445,155471.22,-1.4450051821768284e-06
04_RUS,1.A.3.c,Railways,12285.92226,19.27590672,1247.85600635,0.0,0.0,13553.054173069999,13553.05417,-3.0699993658345193e-06
04_RUS,1.A.3.d,Water-borne Navigation,1924.344066,5.03246856,13.6082058,0.0,0.0,1942.9847403600002,1942.98474,-3.60000058208243e-07
04_RUS,1.A.3.e,Other Transportation,77621.59503,42.17752924,45.910940215,0.0,0.0,77709.683499455,77709.68349,-9.455005056224763e-06
04_RUS,1.A.4,Residential and other sectors,224753.09,1930.36569572,1095.80944682,0.0,8837.0872,227779.26514253998,227779.26522,7.746001938357949e-05
04_RUS,1.A.5,Non-Specified,5605.977604,8.80296522,572.8522595999999,0.0,0.0,6187.63282882,6187.632829,1.7999991541728377e-07
04_RUS,1.B.1,Solid Fuels,46402.25269,103666.537744,2.2814274,0.0,272.4444,150071.0718614,157475.8245274,7404.752665999986
04_RUS,1.B.2,Oil and Natural Gas,101461.0169,145297.543524,187.030298415,0.0,0.0,246945.590722415,257323.9867,10378.395977584994
04_RUS,2.A.1,Cement production,19992.12812,0.0,0.0,0.0,0.0,19992.12812,19992.12812,0.0
04_RUS,2.A.2,Lime production,8682.75,0.0,0.0,0.0,0.0,8682.75,8682.75,0.0
04_RUS,2.A.3,Glass Production,1781.875341,0.0,0.0,0.0,0.0,1781.875341,1781.875341,0.0
04_RUS,2.A.4,Other Process Uses of Carbonates,5233.784215,0.0,0.0,0.0,0.0,5233.784215,5233.784215,0.0
04_RUS,2.B,Chemical Industry,49985.559,352.11135484,17674.378355700002,16107.481067050001,0.0,84119.52977759001,81579.96805,-2539.561727590015
04_RUS,2.C,Metal Industry,17492.28251,165.7480916,0.0,4289.1194949,0.0,21947.1500965,21947.15009,-6.500002200482413e-06
04_RUS,2.D,Non-Energy Products from Fuels and Solvent Use,9421.547868,0.0,0.0,0.0,0.0,9421.547868,9421.547868,0.0
04_RUS,2.E,Electronics Industry,0.0,0.0,0.0,22.8329622038,0.0,22.8329622038,22.80703876,-0.0259234438
04_RUS,2.F,Product Uses as Substitutes for Ozone Depleting Substances,0.0,0.0,0.0,19631.516811564998,0.0,19631.516811564998,19571.12408,-60.39273156499621
