Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
09_WEU,2.C,Metal Industry,SF6,0.12748125,0.12333125,0.06458625,0.06688125,0.07678125,0.06766825,0.07323625,0.06323825,0.06596785,0.073993,0.10362023499999999,0.099990142,0.078525473,0.063547175,0.05825246,0.061143789999999996,0.052403116,0.037522259,0.0204466785,0.01331722,0.01587537,0.010255855000000001,0.009667728,0.008749651,0.009510826,0.007229927000000001,0.006910282,0.009785906,0.010715614,0.005708328,0.00366515,0.00403225,0.0034809280000000003,0.0027384619999999997,0.0020915680000000002
09_WEU,2.E,Electronics Industry,C2F6,0.022304385,0.025470329,0.028853109,0.03314533,0.036613806,0.044746658,0.060525192,0.08103642999999999,0.071993183,0.083265726,0.108705381,0.09642917200000001,0.08534009399999999,0.08675347,0.0804421277,0.070839384,0.065027636,0.057254887000000004,0.046941319,0.027920884,0.030500773000000002,0.026185576999999998,0.023973684000000002,0.019362245,0.017971706,0.016568984,0.018984051000000002,0.017152141,0.014613581,0.01343993,0.012806799,0.012007169,0.011388605,0.010888246,0.01032878348
09_WEU,2.E,Electronics Industry,C3F8,0.00082013638,0.00105656262,0.00129301768,0.00152950025,0.00170849727,0.00297333081,0.0028948748099999998,0.0039427078099999995,0.0024979802100000004,0.0039141313,0.0075715896,0.007867826,0.0079414541,0.0093667011,0.0113957591,0.0102161928,0.009693535999999999,0.0112893435,0.00782982167,0.00268495087,0.00428254987,0.00447887525,0.0032040909400000003,0.0030039547000000003,0.0029873979999999996,0.0029322332,0.002619212,0.0021906229,0.0023310212,0.00202704737,0.0015554061099999998,0.0017548668699999999,0.0017165390700000002,0.001682871568,0.0016468751000000002
09_WEU,2.E,Electronics Industry,CF4,0.021404229,0.02366308,0.025632428,0.028105146,0.030479907,0.047567057999999995,0.055339674,0.067580778,0.064583275,0.084901322,0.097635467,0.07971373200000001,0.081203154,0.089807812,0.0817694988,0.07692964499999999,0.080242408,0.074981522,0.068001516,0.041417584,0.050438111,0.048788765,0.040604194,0.038058011,0.04021544,0.038096089,0.041044455,0.042150644,0.043833468,0.043353725,0.041230663,0.039242689000000004,0.0386334616,0.0378716776,0.0371861738
09_WEU,2.E,Electronics Industry,HFC-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,9e-06,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-06,1.96e-06,2.61333e-06,3.48444e-06,2.71259e-06,2.96346e-06,2.70296e-06
09_WEU,2.E,Electronics Industry,HFC-23,0.005743676,0.005533534,0.005339247,0.0051959325,0.0051025745,0.0038717380000000004,0.004031071,0.0051323969999999995,0.0057460925,0.0057103505,0.0067703425,0.004560411,0.0040938838,0.004732546,0.004521493,0.004740971,0.005890211,0.0055838358,0.005595826,0.004203625,0.0050369538,0.005337603,0.0046726604,0.004428893000000001,0.0042909002,0.004380223,0.0041580281999999994,0.004399937699999999,0.004488153,0.004300893,0.0043370946,0.00412745457,0.00400722146,0.00390933061,0.0038002700800000002
09_WEU,2.E,Electronics Industry,HFC-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28e-06,8.28e-06,8.28e-06,0.0,0.0,0.0,0.0,0.0,0.0,4e-07,4e-07,4e-07,8e-07,8e-07,7.55556e-05,0.000405627,0.00018633700000000002,0.00022289800000000002,0.0001394568,0.000165237,0.00016953699999999999,5.62939e-05,0.00010212427,0.00017535199999999998,0.00017729003,0.00021762138,0.00023875697
09_WEU,2.E,Electronics Industry,NF3,0.0013650142299999998,0.0014620921199999999,0.0015689842699999998,0.0016866914999999999,0.0018604187,0.0060723128,0.0056771332,0.0060950701,0.0045897375,0.00442693,0.0060023432,0.004800336,0.007859604,0.0086104978,0.0077974956,0.0092040745,0.0082926917,0.0095314006,0.01079675143,0.0069040709,0.0094957633,0.0096278003,0.006863624699999999,0.00513433935,0.0051794018,0.0047296435,0.0045429735,0.0050231243,0.0049594601,0.0039513992000000005,0.0037268210999999996,0.004113225,0.0038311464,0.0037910631000000004,0.0036299806
09_WEU,2.E,Electronics Industry,SF6,0.010427288,0.014142567,0.017340449,0.020643119,0.023509005,0.025009853000000002,0.022719036,0.031907311,0.02924409,0.024079754999999998,0.023972599,0.022648928999999998,0.022769034,0.026096902999999998,0.026186716999999998,0.018311604999999998,0.014009244,0.010868405999999999,0.013387666000000001,0.007739676,0.008704868,0.007104488,0.00687815,0.006304252,0.0063234001,0.006464702,0.0066151967,0.007078922,0.006495258,0.007452545,0.005357614,0.0052521189999999995,0.0048377384,0.0043553974,0.0039070376399999995
09_WEU,2.E,Electronics Industry,c-C4F8,0.000409198,0.000498369,0.0005923149999999999,0.000691611,0.000783025,0.0019523289999999998,0.00188899697,0.0025882763999999997,0.0021269398,0.002720434,0.0028969007,0.0027464445,0.0023476386,0.003725296,0.0038076510000000004,0.005447352,0.005212339999999999,0.0059483439999999995,0.006515041,0.004595747,0.005632447,0.004931895,0.003867486,0.00299109,0.0040058570899999995,0.0040690093999999994,0.004073899000000001,0.0035264382,0.0033872783,0.0034532623,0.0025685511,0.00325422593,0.00320987474,0.003128745953,0.00306600736
09_WEU,2.F,Product Uses as Substitutes for Ozone Depleting Substances,C3F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.00052,0.0005,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09_WEU,2.F,Product Uses as Substitutes for Ozone Depleting Substances,C4F10,0.0,0.0,0.0,0.0,0.0,5.725629e-05,0.000167773,0.000298199,0.00041536400000000004,0.00053818,0.000590219,0.000600318,0.0005795799999999999,0.000532741,0.00046342599999999996,0.000362525,0.000261138,0.00013930800000000002,5.76627e-05,3.496699e-05,8.43e-06,7.59e-06,6.83e-06,6.14e-06,5.53e-06,4.98e-06,4.48e-06,4.03e-06,3.62847e-06,3.2656e-06,2.93907e-06,2.64514e-06,2.31736e-06,2.00128e-06,1.67935e-06
09_WEU,2.F,Product Uses as Substitutes for Ozone Depleting Substances,HFC-125,0.0007635322,0.001031194888,0.00167952668,0.0076078343399999995,0.040451661599999994,0.1060289092,0.2634898227,0.4537599342,0.7379690426,1.079458157,1.5009478058999999,1.961008609,2.458573924,3.015566443,3.6179607213,4.215004745,5.036923364,5.7679298999999995,6.373212486,6.605520735,7.047518986,7.501267911,7.9616747409999995,8.38520548,8.637088529,7.688476696,7.837305401,7.727926568,7.568472512,7.435249168,7.00673465,6.869378224,6.641846444,6.380379338,6.135879894
